2023年版 競輪年間記録集
■バンクレコード
競輪場	周長	最大カント	直線部カント	見なし直線距離
函館	400	30°36′51″	3°26′01″	51.3ｍ
青森	400	32°15′07″	2°51′45″	58.9ｍ
いわき平	400	32°54′45″	3°26′01″	62.7ｍ
弥彦	400	32°24′17″	2°51′45″	63.1ｍ
前橋	335	36°00′00″	4°00′00″	46.7ｍ
取手	400	31°30′25″	2°51′44″	54.8ｍ
宇都宮	500	25°47′44″	2°51′44″	63.3ｍ
大宮	500	26°16′40″	3°26′01″	66.7ｍ
西武園	400	29°26′54″	2°51′45″	47.6ｍ
京王閣	400	32°10′34″	2°51′45″	51.5ｍ
立川	400	31°13′06″	2°17′27″	58.0ｍ
松戸	333	29°44′42″	3°01′02″	38.2ｍ
川崎	400	32°10′14″	3°26′01″	58.0ｍ
平塚	400	31°28′37″	3°26′01″	54.2ｍ
小田原	333	35°34′12″	3°26′01″	36.1ｍ
伊東温泉	333	34°41′09″	3°26′01″	46.6ｍ
静岡	400	30°43′22″	2°51′45″	56.4ｍ
名古屋	400	34°01′47″	2°51′45″	58.8ｍ
岐阜	400	32°15′07″	2°51′45″	59.3ｍ
大垣	400	30°37′08″	2°51′45″	56.0ｍ
豊橋	400	33°50′22″	2°17′26″	60.3ｍ
富山	333	33°41′24″	3°26′01″	43.0ｍ
松阪	400	34°25′29″	2°51′45″	61.5ｍ
四日市	400	32°15′07″	2°51′45″	62.4ｍ
福井	400	31°28′37″	2°51′45″	52.8ｍ
奈良	333	33°25′47″	4°51′48″	38.0ｍ
京都向日町	400	30°29′07″	3°26′01″	47.3ｍ
和歌山	400	32°15′07″	2°51′45″	59.9ｍ
岸和田	400	30°56′00″	2°51′45″	56.7ｍ
玉野	400	30°37′33″	3°26′01″	47.9ｍ
広島	400	30°47′34″	3°26′01″	57.9ｍ
防府	333	34°41′09″	4°34′26″	42.5ｍ
高松	400	33°15′50″	2°52′00″	54.8ｍ
小松島	400	29°46′27″	2°51′45″	55.5ｍ
高知	500	24°29′51″	3°26′01″	52.0ｍ
松山	400	34°01′48″	2°51′45″	58.6ｍ
小倉	400	34°01′48″	3°26′01″	56.9ｍ
久留米	400	31°28′37″	3°26′01″	50.7ｍ
武雄	400	32°00′19″	2°17′26″	64.4ｍ
佐世保	400	31°28′37″	3°26′01″	40.2ｍ
別府	400	33°41′24″	2°51′45″	60.0ｍ
熊本	500	29°44′42″	2°17′26″	69.5ｍ
