Official 2012 table, PDF physical page 11 / printed page 9. Structural columns only.
平成24年12月31日現在
name	circumference_m	cant	straight_slope	straight_length_m
函館	400	30°36′51″	3°26′01″	51.3
青森	400	32°15′07″	2°51′45″	58.9
いわき平	400	32°54′45″	3°26′01″	62.7
弥彦	400	32°24′17″	2°51′45″	63.1
前橋	335	36°00′00″	4°00′00″	46.7
取手	400	31°30′25″	2°51′44″	54.8
宇都宮	500	25°47′44″	2°51′44″	63.3
大宮	500	26°16′40″	3°26′01″	66.7
西武園	400	29°26′54″	2°51′45″	47.6
京王閣	400	32°10′34″	2°51′45″	51.5
立川	400	31°13′06″	2°17′27″	58.0
松戸	333	29°44′42″	3°01′02″	38.2
川崎	400	32°10′14″	3°26′01″	58.0
平塚	400	31°28′37″	3°26′01″	54.2
小田原	333	35°34′12″	3°26′01″	36.1
伊東温泉	333	34°41′09″	3°26′01″	46.6
静岡	400	30°43′22″	2°51′45″	56.4
名古屋	400	34°01′47″	2°51′45″	58.8
岐阜	400	32°15′07″	2°51′45″	59.3
大垣	400	30°37′08″	2°51′45″	56.0
豊橋	400	33°50′22″	2°17′26″	60.3
富山	333	33°41′24″	3°26′01″	43.0
松阪	400	34°25′29″	2°51′45″	61.5
四日市	400	32°15′07″	2°51′45″	62.4
福井	400	31°28′37″	2°51′45″	52.8
奈良	333	33°25′47″	4°51′48″	38.0
京都向日町	400	30°29′07″	3°26′01″	47.3
和歌山	400	32°15′07″	2°51′45″	59.9
岸和田	400	30°56′00″	2°51′45″	56.7
玉野	400	30°37′33″	3°26′01″	47.9
広島	400	30°47′34″	3°26′01″	57.9
防府	333	34°41′09″	4°34′26″	42.5
高松	400	33°15′50″	2°52′00″	54.8
小松島	400	29°46′27″	2°51′45″	55.5
高知	500	24°29′51″	3°26′01″	52.0
松山	400	34°01′48″	2°51′45″	58.6
小倉	400	34°01′48″	3°26′01″	56.9
久留米	400	31°28′37″	3°26′01″	50.7
武雄	400	32°00′19″	2°17′26″	64.4
佐世保	400	31°28′37″	3°26′01″	40.2
別府	400	33°41′24″	2°51′45″	60.0
熊本	500	29°44′42″	2°17′26″	69.5
